delivery_id,drone_id,route_id,delivery_date,departure_time,weather_condition,temperature,wind_speed,precipitation_mm,distance_km,battery_level_start,package_weight_kg,package_type,delivery_zone,delivery_area,traffic_congestion,pilot_experience_years,drone_model,battery_consumption_rate,landing_accuracy_m,flight_duration_min,battery_level_end,arrival_time,delivery_success
D-000274,DRN-012-C,RT-EKB-MOW-05,2023-01-19,2023-01-01 08:24:00,Stormy,1.68,1.53,1.22,2.11,83.92,0.81,Oversized,Rural,Rural,Low,2.59,ND-Heavy-Lift-X1,34.13,1.77,8.5,79.09,2023-01-01 08:32:29.743096668,1
D-000275,DRN-065-A,RT-EKB-SPB-06,2023-04-20,2023-01-01 10:12:00,Cloudy,28.6,1.03,0.22,11.05,83.68,10.63,Fragile,Commercial,Urban,Medium,1.13,ND-Heavy-Lift-X1,83.93,1.8,55.3,6.32,2023-01-01 11:07:18.196038972,1
D-000276,DRN-040-B,RT-SPB-SPB-19,2023-02-03,2023-01-01 15:32:00,Rainy,-5.23,13.37,0.74,2.79,87.03,2.03,Perishable,Residential,Rural,High,9.67,ND-Light-Carry-X1,38.11,2.44,22.98,72.44,2023-01-01 15:54:58.795207188,1
D-000277,DRN-043-A,RT-MOW-NSK-06,2023-10-15,2023-01-01 18:37:00,Rainy,-2.8,2.27,1.46,4.92,89.47,7.69,Hazardous,Rural,Urban,Medium,0.7,ND-Light-Carry-X1,66.78,2.59,25.86,60.69,2023-01-01 19:02:51.742225494,1
D-000278,DRN-013-C,RT-EKB-SPB-13,2023-11-28,2023-01-01 10:57:00,Sunny,13.72,0.01,0.07,3.27,86.83,20.04,Standard,Residential,Rural,High,3.18,ND-Speedster-X1,133.56,1.46,21.21,39.62,2023-01-01 11:18:12.580239348,1
D-000279,DRN-046-B,RT-NSK-EKB-19,2023-09-12,2023-01-01 13:19:00,Sunny,-0.17,7.27,3.24,7.76,91.53,0.32,Standard,Residential,Urban,Low,3.92,ND-Speedster-X1,27.25,2.2,26.67,79.42,2023-01-01 13:45:40.157726190,1
D-000280,DRN-035-C,RT-NSK-KZN-19,2023-05-06,2023-01-01 17:16:00,Sunny,29.67,3.66,0.11,0.63,86.2,2.45,Standard,Rural,Rural,Medium,1.98,ND-Speedster-X1,39.96,1.39,-0.17,86.32,2023-01-01 17:15:49.544638056,1
D-000281,DRN-081-B,RT-SPB-KZN-14,2023-07-28,2023-01-01 16:49:00,Sunny,0.86,0.74,0.05,2.14,83.54,8.66,Standard,Residential,Rural,Medium,2.43,ND-AllTerrain-X1,72.57,2.07,11.24,69.94,2023-01-01 17:00:14.693973276,1
D-000282,DRN-008-A,RT-SPB-EKB-04,2023-05-14,2023-01-01 13:25:00,Sunny,33.68,0.12,0.0,4.88,97.26,2.44,Standard,Commercial,Suburban,Medium,1.96,ND-Light-Carry-X1,42.54,1.61,30.8,75.42,2023-01-01 13:55:48.019904976,1
D-000283,DRN-026-B,RT-SPB-KZN-17,2023-03-27,2023-01-01 13:31:00,Cloudy,27.42,1.38,1.73,9.29,84.01,10.22,Fragile,Rural,Urban,Medium,1.93,ND-Heavy-Lift-X1,80.81,1.54,47.28,20.34,2023-01-01 14:18:16.579429722,1
D-000284,DRN-090-B,RT-EKB-EKB-13,2023-03-16,2023-01-01 18:13:00,Stormy,29.82,10.52,0.91,0.8,99.33,12.15,Hazardous,Commercial,Urban,Low,3.87,ND-AllTerrain-X1,93.14,1.7,-1.72,100.0,2023-01-01 18:11:16.649037654,1
D-000285,DRN-034-C,RT-KZN-NSK-04,2023-05-15,2023-01-01 10:21:00,Stormy,37.65,10.84,0.16,4.65,99.75,2.22,Oversized,Commercial,Suburban,Medium,3.09,ND-Heavy-Lift-X1,49.98,1.64,20.95,82.3,2023-01-01 10:41:56.962718994,1
D-000286,DRN-007-B,RT-SPB-MOW-03,2023-10-28,2023-01-01 07:26:00,Rainy,15.97,1.49,2.91,2.02,93.94,16.38,Standard,Commercial,Urban,Medium,4.4,ND-Heavy-Lift-X1,108.75,1.19,13.08,70.23,2023-01-01 07:39:04.749781266,1
D-000287,DRN-075-A,RT-SPB-MOW-17,2023-06-22,2023-01-01 17:56:00,Sunny,2.84,7.23,0.34,0.99,90.04,15.23,Fragile,Commercial,Suburban,Low,3.26,ND-Light-Carry-X1,106.96,1.72,11.06,70.32,2023-01-01 18:07:03.676883958,1
D-000288,DRN-036-A,RT-SPB-NSK-18,2023-08-01,2023-01-01 11:59:00,Cloudy,13.76,2.33,0.59,4.72,95.91,1.76,Oversized,Rural,Suburban,Medium,3.18,ND-Speedster-X1,36.8,1.6,19.01,84.25,2023-01-01 12:18:00.587419944,1
D-000289,DRN-021-A,RT-MOW-KZN-16,2023-11-17,2023-01-01 14:42:00,Rainy,8.2,4.25,0.29,10.68,97.46,4.12,Fragile,Commercial,Urban,Low,2.17,ND-Speedster-X1,53.37,1.81,42.12,60.0,2023-01-01 15:24:07.180628814,1
D-000290,DRN-036-B,RT-NSK-EKB-09,2023-12-16,2023-01-01 15:02:00,Sunny,6.49,1.63,3.92,3.7,94.19,5.41,Hazardous,Commercial,Urban,Medium,2.14,ND-Light-Carry-X1,62.55,1.93,17.23,76.22,2023-01-01 15:19:14.061132006,1
D-000291,DRN-073-C,RT-KZN-NSK-15,2023-01-19,2023-01-01 11:57:00,Rainy,16.81,2.9,2.13,6.24,82.04,4.82,Hazardous,Industrial,Urban,Low,2.74,ND-Speedster-X1,53.92,1.55,19.3,64.69,2023-01-01 12:16:18.164210478,1
D-000292,DRN-049-C,RT-SPB-NSK-15,2023-04-29,2023-01-01 10:15:00,Stormy,11.26,1.39,1.93,1.73,80.06,2.53,Standard,Commercial,Suburban,Medium,5.09,ND-Heavy-Lift-X1,45.68,1.44,6.95,74.77,2023-01-01 10:21:56.805524748,1
D-000293,DRN-036-B,RT-SPB-SPB-06,2023-10-30,2023-01-01 14:12:00,Cloudy,5.97,0.25,0.07,0.78,83.84,2.04,Oversized,Industrial,Urban,Low,3.89,ND-Speedster-X1,37.28,1.93,6.34,79.9,2023-01-01 14:18:20.464656180,1
D-000294,DRN-096-C,RT-MOW-MOW-19,2023-10-29,2023-01-01 15:48:00,Rainy,12.06,0.6,1.11,1.84,83.77,5.39,Fragile,Residential,Urban,Low,4.96,ND-Speedster-X1,60.74,1.66,5.59,78.11,2023-01-01 15:53:35.475777216,1
D-000295,DRN-062-A,RT-KZN-NSK-20,2023-10-12,2023-01-01 14:20:00,Sunny,21.59,1.37,1.29,3.99,83.65,11.7,Fragile,Residential,Urban,Low,1.62,ND-Light-Carry-X1,93.69,1.08,24.84,44.86,2023-01-01 14:44:50.529139344,1
D-000296,DRN-012-A,RT-SPB-SPB-16,2023-08-15,2023-01-01 06:41:00,Rainy,26.48,14.96,0.72,3.05,90.2,3.92,Oversized,Commercial,Suburban,Medium,1.3,ND-Heavy-Lift-X1,49.2,1.08,15.64,77.37,2023-01-01 06:56:38.212188384,1
D-000297,DRN-055-A,RT-KZN-MOW-04,2023-07-31,2023-01-01 13:06:00,Sunny,-4.24,13.49,0.58,1.1,90.4,9.68,Oversized,Residential,Rural,Medium,1.64,ND-AllTerrain-X1,80.43,2.4,-2.21,93.36,2023-01-01 13:03:47.563296378,1
D-000298,DRN-023-A,RT-NSK-NSK-05,2023-12-22,2023-01-01 19:21:00,Sunny,11.36,7.03,2.87,1.44,94.46,10.16,Perishable,Rural,Rural,Medium,1.6,ND-Light-Carry-X1,77.07,1.49,3.4,90.1,2023-01-01 19:24:23.751881688,0
D-000299,DRN-099-A,RT-MOW-MOW-20,2023-07-08,2023-01-01 07:20:00,Rainy,13.3,1.06,0.03,5.62,84.03,2.93,Oversized,Industrial,Urban,Low,2.72,ND-Speedster-X1,42.8,1.14,12.83,74.87,2023-01-01 07:32:50.038072284,1
D-000300,DRN-030-A,RT-NSK-MOW-15,2023-11-17,2023-01-01 08:49:00,Rainy,0.81,2.33,1.47,8.86,81.85,2.17,Hazardous,Residential,Suburban,Medium,1.14,ND-AllTerrain-X1,42.5,2.12,37.03,55.63,2023-01-01 09:26:01.848742800,1
D-000301,DRN-062-A,RT-KZN-NSK-13,2023-05-31,2023-01-01 19:09:00,Cloudy,13.56,2.32,0.75,4.43,93.32,0.98,Oversized,Residential,Rural,Low,0.41,ND-Speedster-X1,42.01,1.28,12.99,84.23,2023-01-01 19:21:59.139669870,0
D-000302,DRN-086-A,RT-SPB-EKB-09,2023-08-11,2023-01-01 06:08:00,Cloudy,16.78,1.96,1.64,3.62,89.68,6.54,Standard,Commercial,Suburban,High,2.46,ND-Speedster-X1,57.24,1.11,16.88,73.57,2023-01-01 06:24:52.948317384,1
D-000303,DRN-059-C,RT-SPB-EKB-17,2023-05-08,2023-01-01 07:12:00,Rainy,21.23,0.18,0.33,1.99,93.33,11.91,Oversized,Residential,Urban,Medium,0.85,ND-Heavy-Lift-X1,90.15,1.5,7.44,82.15,2023-01-01 07:19:26.233459560,1
D-000304,DRN-049-A,RT-SPB-NSK-16,2023-09-05,2023-01-01 16:16:00,Rainy,15.93,3.06,0.41,0.19,87.61,8.28,Oversized,Industrial,Rural,High,2.04,ND-AllTerrain-X1,75.17,1.01,2.87,84.01,2023-01-01 16:18:52.404674364,1
D-000305,DRN-019-A,RT-MOW-KZN-07,2023-02-20,2023-01-01 19:22:00,Foggy,4.43,0.3,1.33,7.59,95.02,12.53,Hazardous,Residential,Rural,Low,4.29,ND-Speedster-X1,98.12,1.79,37.47,33.75,2023-01-01 19:59:27.950772108,1
D-000306,DRN-071-B,RT-EKB-SPB-09,2023-07-10,2023-01-01 14:53:00,Stormy,39.14,6.48,5.86,3.2,93.65,4.53,Perishable,Industrial,Urban,Medium,5.57,ND-Heavy-Lift-X1,52.05,2.69,20.13,76.19,2023-01-01 15:13:07.724298060,1
D-000307,DRN-095-C,RT-NSK-EKB-03,2023-08-25,2023-01-01 13:30:00,Rainy,24.95,4.7,5.51,14.36,93.01,0.61,Oversized,Commercial,Suburban,Medium,2.33,ND-Heavy-Lift-X1,36.96,1.19,69.64,50.11,2023-01-01 14:39:38.334893418,1
D-000308,DRN-016-A,RT-SPB-MOW-15,2023-01-22,2023-01-01 16:22:00,Rainy,21.63,1.74,0.43,2.73,80.55,1.59,Standard,Commercial,Urban,Medium,0.86,ND-Speedster-X1,40.2,1.2,11.17,73.07,2023-01-01 16:33:09.900359670,1
D-000309,DRN-069-C,RT-SPB-EKB-18,2023-04-20,2023-01-01 14:38:00,Cloudy,27.06,4.17,0.16,3.79,97.16,1.36,Hazardous,Residential,Urban,Medium,3.7,ND-Speedster-X1,42.14,2.02,14.76,86.8,2023-01-01 14:52:45.582732462,1
D-000310,DRN-012-A,RT-NSK-KZN-06,2023-11-23,2023-01-01 18:21:00,Sunny,17.94,1.06,1.34,3.16,87.53,9.22,Standard,Rural,Urban,Low,1.23,ND-Light-Carry-X1,75.53,1.19,8.8,76.45,2023-01-01 18:29:48.215046060,0
D-000311,DRN-052-C,RT-NSK-SPB-01,2023-02-02,2023-01-01 06:40:00,Sunny,30.44,1.23,0.82,1.66,82.71,6.55,Oversized,Residential,Urban,Low,0.71,ND-AllTerrain-X1,63.07,1.99,3.52,79.01,2023-01-01 06:43:31.297846440,1
D-000312,DRN-085-A,RT-EKB-KZN-01,2023-05-07,2023-01-01 15:47:00,Rainy,15.68,1.51,2.15,6.95,95.11,3.01,Hazardous,Residential,Suburban,Low,3.19,ND-Light-Carry-X1,43.19,0.96,29.91,73.58,2023-01-01 16:16:54.419251974,1
D-000313,DRN-023-A,RT-NSK-SPB-14,2023-12-31,2023-01-01 10:17:00,Rainy,15.02,6.38,1.13,1.28,89.73,1.02,Standard,Residential,Urban,Medium,0.67,ND-Heavy-Lift-X1,34.2,1.69,-1.02,90.31,2023-01-01 10:15:58.799539110,1
D-000314,DRN-039-A,RT-NSK-SPB-17,2023-12-22,2023-01-01 19:27:00,Cloudy,22.62,0.95,1.07,3.11,80.64,3.24,Hazardous,Commercial,Urban,Low,5.57,ND-Light-Carry-X1,45.3,1.22,10.58,72.65,2023-01-01 19:37:34.941005844,1
D-000315,DRN-053-B,RT-EKB-SPB-16,2023-02-13,2023-01-01 16:23:00,Cloudy,33.92,3.31,1.56,1.73,95.64,7.38,Oversized,Residential,Urban,Low,1.93,ND-Heavy-Lift-X1,64.47,2.25,0.58,95.02,2023-01-01 16:23:34.743528174,0
D-000316,DRN-058-C,RT-KZN-KZN-09,2023-01-07,2023-01-01 18:35:00,Sunny,33.14,0.89,0.2,2.66,88.7,3.57,Hazardous,Commercial,Rural,Medium,2.01,ND-Light-Carry-X1,53.24,1.55,11.54,78.46,2023-01-01 18:46:32.632337040,1
D-000317,DRN-014-C,RT-NSK-NSK-06,2023-05-08,2023-01-01 19:18:00,Cloudy,22.11,1.34,1.7,4.77,95.1,3.62,Standard,Rural,Urban,Medium,2.59,ND-Light-Carry-X1,48.28,1.45,15.29,82.8,2023-01-01 19:33:17.167244508,1
D-000318,DRN-005-C,RT-MOW-KZN-05,2023-04-01,2023-01-01 18:32:00,Cloudy,21.2,1.07,1.01,12.97,95.11,6.88,Oversized,Commercial,Suburban,Low,2.12,ND-Heavy-Lift-X1,62.96,0.67,44.96,47.93,2023-01-01 19:16:57.390665298,1
D-000319,DRN-087-A,RT-NSK-SPB-20,2023-05-10,2023-01-01 10:18:00,Cloudy,23.35,4.14,2.57,7.42,82.0,3.69,Fragile,Residential,Suburban,Medium,2.9,ND-Heavy-Lift-X1,47.24,1.15,31.13,57.49,2023-01-01 10:49:07.616499336,1
D-000320,DRN-075-B,RT-SPB-KZN-04,2023-01-17,2023-01-01 09:31:00,Stormy,26.83,2.99,0.22,4.45,92.26,18.71,Standard,Residential,Suburban,Medium,1.84,ND-Light-Carry-X1,118.91,1.36,11.29,69.89,2023-01-01 09:42:17.481305364,0
D-000321,DRN-076-A,RT-SPB-SPB-16,2023-11-17,2023-01-01 14:10:00,Sunny,30.58,5.11,0.54,4.47,87.2,11.77,Oversized,Residential,Urban,Medium,1.41,ND-AllTerrain-X1,90.7,1.6,20.4,56.37,2023-01-01 14:30:23.828757096,1
D-000322,DRN-074-B,RT-SPB-SPB-17,2023-07-05,2023-01-01 19:22:00,Cloudy,12.16,0.99,4.5,0.52,90.93,1.4,Fragile,Industrial,Urban,Medium,4.38,ND-Heavy-Lift-X1,34.39,1.68,-0.35,91.13,2023-01-01 19:21:39.234322218,1
D-000323,DRN-017-A,RT-KZN-EKB-13,2023-04-20,2023-01-01 16:04:00,Cloudy,30.82,0.04,1.21,8.64,81.77,14.72,Oversized,Residential,Rural,Medium,0.46,ND-Speedster-X1,101.74,2.08,37.47,18.24,2023-01-01 16:41:28.173460470,1
D-000324,DRN-007-B,RT-MOW-MOW-15,2023-10-13,2023-01-01 13:21:00,Foggy,19.12,4.56,3.97,5.48,91.76,4.43,Perishable,Residential,Urban,Medium,2.82,ND-AllTerrain-X1,55.55,1.01,14.12,78.69,2023-01-01 13:35:07.151478258,1
D-000325,DRN-013-B,RT-MOW-MOW-13,2023-12-14,2023-01-01 15:17:00,Stormy,22.81,0.49,1.75,5.85,95.55,8.35,Standard,Rural,Urban,Medium,2.37,ND-AllTerrain-X1,70.14,1.48,31.69,58.51,2023-01-01 15:48:41.160091398,1
D-000326,DRN-009-B,RT-NSK-EKB-01,2023-06-12,2023-01-01 12:32:00,Cloudy,31.58,1.13,3.91,0.17,99.74,17.38,Standard,Commercial,Suburban,Medium,1.87,ND-Speedster-X1,118.29,1.46,-5.06,100.0,2023-01-01 12:26:56.345100048,1
D-000327,DRN-027-B,RT-KZN-MOW-17,2023-03-16,2023-01-01 08:27:00,Foggy,23.96,1.46,0.57,4.16,86.41,0.25,Standard,Commercial,Suburban,Medium,2.39,ND-Light-Carry-X1,29.59,1.44,26.75,73.21,2023-01-01 08:53:44.985069744,1
D-000328,DRN-066-A,RT-MOW-MOW-12,2023-07-18,2023-01-01 06:48:00,Cloudy,25.99,5.49,0.14,1.73,83.1,11.0,Standard,Rural,Rural,Medium,1.01,ND-Speedster-X1,83.48,1.35,5.25,75.8,2023-01-01 06:53:15.051768911,1
D-000329,DRN-029-A,RT-KZN-MOW-01,2023-12-27,2023-01-01 10:21:00,Sunny,10.33,3.93,2.43,3.54,87.32,13.18,Perishable,Commercial,Urban,High,4.95,ND-Light-Carry-X1,94.0,1.66,22.78,51.63,2023-01-01 10:43:47.013771486,1
D-000330,DRN-038-C,RT-MOW-MOW-10,2023-10-14,2023-01-01 17:18:00,Cloudy,32.98,0.81,2.45,2.8,80.39,13.65,Oversized,Residential,Rural,High,3.03,ND-Heavy-Lift-X1,97.69,1.67,17.65,51.65,2023-01-01 17:35:38.949874704,1
D-000331,DRN-008-A,RT-SPB-NSK-17,2023-07-01,2023-01-01 19:02:00,Sunny,23.35,3.64,1.45,4.4,88.18,9.78,Fragile,Industrial,Suburban,High,2.11,ND-AllTerrain-X1,74.75,1.51,17.96,65.8,2023-01-01 19:19:57.822001284,1
D-000332,DRN-065-B,RT-NSK-EKB-11,2023-04-07,2023-01-01 08:32:00,Cloudy,16.51,4.93,1.3,3.78,98.29,1.58,Oversized,Residential,Suburban,High,6.71,ND-Light-Carry-X1,40.2,1.08,20.83,84.34,2023-01-01 08:52:49.594910484,1
D-000333,DRN-017-C,RT-KZN-SPB-02,2023-02-20,2023-01-01 10:00:00,Stormy,28.21,1.97,3.7,1.32,83.89,3.66,Standard,Commercial,Urban,Low,2.97,ND-Speedster-X1,56.75,1.91,3.69,80.39,2023-01-01 10:03:41.642867682,0
D-000334,DRN-071-A,RT-MOW-MOW-14,2023-11-10,2023-01-01 15:09:00,Rainy,46.05,1.13,0.29,5.66,89.55,6.51,Fragile,Industrial,Suburban,High,4.64,ND-Light-Carry-X1,64.33,2.09,24.89,62.86,2023-01-01 15:33:53.557017990,1
D-000335,DRN-045-B,RT-EKB-KZN-17,2023-02-03,2023-01-01 08:12:00,Sunny,0.97,4.55,1.44,2.04,91.45,1.01,Fragile,Rural,Urban,Low,0.24,ND-Light-Carry-X1,32.26,2.44,11.86,85.08,2023-01-01 08:23:51.615334722,1
D-000336,DRN-031-C,RT-MOW-EKB-20,2023-01-21,2023-01-01 11:42:00,Sunny,5.36,3.78,0.08,5.73,83.6,5.44,Perishable,Commercial,Rural,High,1.19,ND-Light-Carry-X1,59.23,1.71,18.56,65.28,2023-01-01 12:00:33.609770850,0
D-000337,DRN-061-B,RT-SPB-NSK-11,2023-07-03,2023-01-01 11:34:00,Sunny,47.22,0.32,0.23,1.75,86.6,12.74,Fragile,Commercial,Suburban,Medium,1.89,ND-Heavy-Lift-X1,89.09,2.6,4.55,79.85,2023-01-01 11:38:32.871908178,1
D-000338,DRN-039-C,RT-MOW-SPB-04,2023-10-20,2023-01-01 14:07:00,Sunny,20.12,4.39,0.86,2.15,98.23,4.47,Standard,Residential,Suburban,High,1.48,ND-AllTerrain-X1,50.03,1.0,12.19,88.06,2023-01-01 14:19:11.514030942,1
D-000339,DRN-074-B,RT-MOW-SPB-05,2023-03-05,2023-01-01 16:02:00,Sunny,17.29,2.68,2.58,3.24,85.91,12.83,Standard,Commercial,Rural,High,0.95,ND-Heavy-Lift-X1,92.81,1.39,19.46,55.81,2023-01-01 16:21:27.786861756,1
D-000340,DRN-019-C,RT-SPB-MOW-16,2023-05-04,2023-01-01 10:20:00,Cloudy,13.62,5.6,1.98,3.43,92.71,4.58,Standard,Residential,Suburban,High,3.09,ND-Heavy-Lift-X1,56.05,1.16,16.65,77.16,2023-01-01 10:36:38.701440990,1
D-000341,DRN-067-A,RT-NSK-EKB-06,2023-04-11,2023-01-01 19:36:00,Rainy,29.5,0.85,5.48,3.15,82.74,6.59,Hazardous,Commercial,Urban,High,0.76,ND-Light-Carry-X1,65.05,1.48,11.14,70.67,2023-01-01 19:47:08.212107528,1
D-000342,DRN-013-B,RT-KZN-SPB-01,2023-04-29,2023-01-01 08:36:00,Rainy,46.33,1.19,0.07,1.69,93.4,5.9,Standard,Industrial,Urban,Low,3.72,ND-Light-Carry-X1,55.22,2.55,9.14,84.99,2023-01-01 08:45:08.283620064,1
D-000343,DRN-092-B,RT-MOW-EKB-17,2023-12-07,2023-01-01 10:19:00,Sunny,7.02,3.14,0.72,13.83,85.58,1.41,Oversized,Commercial,Rural,High,1.33,ND-AllTerrain-X1,39.5,1.74,61.94,44.8,2023-01-01 11:20:56.601533862,1
D-000344,DRN-058-A,RT-MOW-EKB-15,2023-03-19,2023-01-01 09:01:00,Cloudy,13.84,2.63,0.26,1.99,84.63,2.74,Standard,Residential,Rural,Low,3.12,ND-Light-Carry-X1,42.04,1.09,18.98,71.33,2023-01-01 09:19:58.854793716,1
D-000345,DRN-039-A,RT-NSK-NSK-10,2023-06-30,2023-01-01 14:06:00,Sunny,10.79,1.95,0.06,1.37,82.48,7.87,Standard,Residential,Rural,Medium,7.65,ND-Heavy-Lift-X1,71.18,1.02,6.78,74.44,2023-01-01 14:12:46.896630978,1
D-000346,DRN-003-A,RT-KZN-SPB-12,2023-07-18,2023-01-01 06:52:00,Sunny,23.79,5.48,0.46,1.26,80.94,12.01,Perishable,Residential,Urban,Medium,1.39,ND-Heavy-Lift-X1,87.77,1.35,-2.86,85.13,2023-01-01 06:49:08.187820470,1
D-000347,DRN-092-B,RT-MOW-NSK-13,2023-12-26,2023-01-01 07:41:00,Cloudy,29.67,3.33,0.42,1.75,99.36,1.99,Fragile,Residential,Urban,Medium,0.31,ND-Heavy-Lift-X1,39.62,1.82,5.05,96.03,2023-01-01 07:46:02.713673424,0
D-000348,DRN-063-A,RT-NSK-KZN-14,2023-07-09,2023-01-01 11:06:00,Sunny,34.45,4.96,0.82,1.0,88.28,10.44,Oversized,Residential,Urban,Medium,2.09,ND-Heavy-Lift-X1,79.74,1.96,-0.23,88.58,2023-01-01 11:05:46.483107156,1
D-000349,DRN-025-A,RT-KZN-SPB-16,2023-11-24,2023-01-01 17:17:00,Cloudy,24.2,0.67,0.23,4.77,95.55,6.16,Oversized,Rural,Rural,Medium,0.65,ND-Light-Carry-X1,60.48,0.98,13.48,81.96,2023-01-01 17:30:28.854317964,1
D-000350,DRN-038-A,RT-EKB-NSK-20,2023-04-13,2023-01-01 16:53:00,Stormy,45.23,5.22,1.01,2.09,98.4,4.79,Oversized,Industrial,Urban,Medium,2.06,ND-AllTerrain-X1,50.41,2.99,3.0,95.88,2023-01-01 16:55:59.997016212,1
D-000351,DRN-006-B,RT-MOW-NSK-16,2023-11-29,2023-01-01 18:18:00,Cloudy,8.1,2.48,3.79,4.39,84.08,2.02,Oversized,Rural,Urban,Medium,2.79,ND-Light-Carry-X1,37.52,2.11,17.92,72.88,2023-01-01 18:35:55.010200560,1
D-000352,DRN-044-A,RT-EKB-EKB-17,2023-10-02,2023-01-01 14:03:00,Rainy,4.99,0.14,2.07,1.96,97.4,5.69,Oversized,Commercial,Urban,Medium,2.19,ND-Speedster-X1,56.56,2.18,4.21,93.43,2023-01-01 14:07:12.538523610,1
D-000353,DRN-032-A,RT-KZN-NSK-03,2023-05-10,2023-01-01 08:12:00,Sunny,32.63,1.07,2.77,4.64,94.16,7.72,Oversized,Residential,Rural,Medium,0.92,ND-Heavy-Lift-X1,65.68,1.89,21.22,70.93,2023-01-01 08:33:13.308075552,1
D-000354,DRN-061-C,RT-MOW-KZN-11,2023-08-29,2023-01-01 16:50:00,Stormy,16.47,0.1,2.45,9.15,91.56,12.3,Fragile,Residential,Suburban,Low,1.99,ND-AllTerrain-X1,90.39,1.0,37.95,34.38,2023-01-01 17:27:57.236979834,0
D-000355,DRN-021-B,RT-NSK-NSK-05,2023-05-14,2023-01-01 07:27:00,Sunny,-1.51,2.44,0.74,1.21,96.18,1.19,Standard,Residential,Suburban,Low,0.78,ND-Heavy-Lift-X1,36.19,2.03,3.72,93.94,2023-01-01 07:30:43.250780298,1
D-000356,DRN-085-C,RT-MOW-NSK-04,2023-06-06,2023-01-01 14:07:00,Sunny,11.21,1.58,1.85,7.38,82.21,6.54,Oversized,Industrial,Suburban,High,2.46,ND-Light-Carry-X1,66.67,1.67,33.78,44.68,2023-01-01 14:40:46.813648992,1
D-000357,DRN-036-C,RT-KZN-SPB-04,2023-11-14,2023-01-01 10:45:00,Sunny,18.07,17.51,2.11,7.27,85.27,8.08,Standard,Residential,Suburban,High,1.26,ND-Heavy-Lift-X1,67.04,1.13,42.49,37.79,2023-01-01 11:27:29.475287316,0
D-000358,DRN-019-A,RT-NSK-SPB-17,2023-06-07,2023-01-01 19:28:00,Cloudy,7.25,8.12,0.35,5.57,82.62,8.19,Standard,Residential,Urban,Medium,2.72,ND-AllTerrain-X1,67.85,2.37,31.36,47.16,2023-01-01 19:59:21.513039954,1
D-000359,DRN-018-C,RT-KZN-SPB-01,2023-12-25,2023-01-01 14:12:00,Cloudy,2.82,6.99,2.95,1.82,97.92,5.88,Standard,Industrial,Urban,Low,2.15,ND-Light-Carry-X1,59.48,1.81,8.17,89.82,2023-01-01 14:20:10.436169060,1
D-000360,DRN-049-B,RT-EKB-EKB-11,2023-07-09,2023-01-01 07:37:00,Foggy,12.51,2.78,0.92,0.68,81.98,4.14,Perishable,Residential,Urban,Low,4.05,ND-Heavy-Lift-X1,45.79,1.21,3.68,79.17,2023-01-01 07:40:40.879345038,1
D-000361,DRN-015-C,RT-KZN-SPB-17,2023-04-10,2023-01-01 12:21:00,Rainy,2.23,6.58,0.02,1.44,99.6,0.05,Standard,Commercial,Urban,High,1.65,ND-Speedster-X1,31.0,2.15,9.18,94.86,2023-01-01 12:30:10.852116396,1
D-000362,DRN-001-A,RT-KZN-KZN-09,2023-02-21,2023-01-01 08:41:00,Cloudy,22.62,1.24,1.55,7.96,82.2,13.55,Standard,Residential,Suburban,High,2.95,ND-Light-Carry-X1,97.82,1.25,38.61,19.25,2023-01-01 09:19:36.568141764,1
D-000363,DRN-054-B,RT-KZN-NSK-16,2023-02-18,2023-01-01 19:41:00,Cloudy,-8.33,3.29,1.69,6.97,93.24,0.43,Perishable,Industrial,Urban,Medium,2.53,ND-Light-Carry-X1,33.78,3.07,31.93,75.26,2023-01-01 20:12:55.595509896,1
D-000364,DRN-003-C,RT-NSK-SPB-10,2023-04-10,2023-01-01 15:08:00,Cloudy,16.09,2.0,1.2,2.71,93.21,3.91,Oversized,Industrial,Suburban,Medium,3.24,ND-Light-Carry-X1,56.27,1.15,3.81,89.64,2023-01-01 15:11:48.511698528,1
D-000365,DRN-057-C,RT-EKB-NSK-10,2023-09-08,2023-01-01 19:30:00,Rainy,21.23,0.75,0.36,4.65,98.62,7.36,Standard,Commercial,Suburban,High,0.83,ND-Speedster-X1,66.97,1.27,21.67,74.44,2023-01-01 19:51:40.258387998,1
D-000366,DRN-012-B,RT-KZN-MOW-17,2023-02-23,2023-01-01 17:55:00,Rainy,13.91,0.3,0.99,6.15,86.46,9.65,Oversized,Industrial,Urban,Low,2.44,ND-AllTerrain-X1,76.64,1.66,28.31,50.3,2023-01-01 18:23:18.744049776,1
D-000367,DRN-096-B,RT-NSK-EKB-13,2023-05-17,2023-01-01 13:23:00,Cloudy,28.12,3.27,0.77,3.87,86.64,31.25,Standard,Industrial,Urban,Medium,2.02,ND-Heavy-Lift-X1,189.11,1.7,15.48,37.83,2023-01-01 13:38:29.098583412,1
D-000368,DRN-076-A,RT-NSK-MOW-19,2023-06-11,2023-01-01 14:48:00,Rainy,-1.45,0.41,5.51,1.01,96.93,10.72,Hazardous,Industrial,Suburban,High,2.08,ND-Light-Carry-X1,83.59,2.34,0.35,96.44,2023-01-01 14:48:20.995380984,1
